year_census,date_census_start,date_census_end,state_abb,state_name,state_region,state_division,population,median_household_income,census_current_flag
2011,2011-01-01,2011-12-31,AL,Alabama,South,East South Central,4747424,42934,FALSE
2011,2011-01-01,2011-12-31,AK,Alaska,West,Pacific,700703,69014,FALSE
2011,2011-01-01,2011-12-31,AZ,Arizona,West,Mountain,6337373,50752,FALSE
2011,2011-01-01,2011-12-31,AR,Arkansas,South,West South Central,2895928,40149,FALSE
2011,2011-01-01,2011-12-31,CA,California,West,Pacific,36969200,61632,FALSE
2011,2011-01-01,2011-12-31,CO,Colorado,West,Mountain,4966061,57685,FALSE
2011,2011-01-01,2011-12-31,CT,Connecticut,Northeast,New England,3558172,69243,FALSE
2011,2011-01-01,2011-12-31,DE,Delaware,South,South Atlantic,890856,59317,FALSE
2011,2011-01-01,2011-12-31,DC,District of Columbia,Northeast,South Atlantic,593955,61835,FALSE
2011,2011-01-01,2011-12-31,FL,Florida,South,South Atlantic,18688787,47827,FALSE
2011,2011-01-01,2011-12-31,GA,Georgia,South,South Atlantic,9600612,49736,FALSE
2011,2011-01-01,2011-12-31,HI,Hawaii,West,Pacific,1346554,67116,FALSE
2011,2011-01-01,2011-12-31,ID,Idaho,West,Mountain,1549987,46890,FALSE
2011,2011-01-01,2011-12-31,IL,Illinois,North Central,East North Central,12790182,56576,FALSE
2011,2011-01-01,2011-12-31,IN,Indiana,North Central,East North Central,6454254,48393,FALSE
2011,2011-01-01,2011-12-31,IA,Iowa,North Central,West North Central,3032266,50451,FALSE
2011,2011-01-01,2011-12-31,KS,Kansas,North Central,West North Central,2830985,50594,FALSE
2011,2011-01-01,2011-12-31,KY,Kentucky,South,East South Central,4316040,42248,FALSE
2011,2011-01-01,2011-12-31,LA,Louisiana,South,West South Central,4484596,44086,FALSE
2011,2011-01-01,2011-12-31,ME,Maine,Northeast,New England,1328543,47898,FALSE
2011,2011-01-01,2011-12-31,MD,Maryland,South,South Atlantic,5736545,72419,FALSE
2011,2011-01-01,2011-12-31,MA,Massachusetts,Northeast,New England,6512227,65981,FALSE
2011,2011-01-01,2011-12-31,MI,Michigan,North Central,East North Central,9920621,48669,FALSE
2011,2011-01-01,2011-12-31,MN,Minnesota,North Central,West North Central,5278190,58476,FALSE
2011,2011-01-01,2011-12-31,MS,Mississippi,South,East South Central,2956700,38718,FALSE
2011,2011-01-01,2011-12-31,MO,Missouri,North Central,West North Central,5955802,47202,FALSE
2011,2011-01-01,2011-12-31,MT,Montana,West,Mountain,982854,45324,FALSE
2011,2011-01-01,2011-12-31,NE,Nebraska,North Central,West North Central,1813061,50695,FALSE
2011,2011-01-01,2011-12-31,NV,Nevada,West,Mountain,2673396,55553,FALSE
2011,2011-01-01,2011-12-31,NH,New Hampshire,Northeast,New England,1315911,64664,FALSE
2011,2011-01-01,2011-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8753064,71180,FALSE
2011,2011-01-01,2011-12-31,NM,New Mexico,West,Mountain,2037136,44631,FALSE
2011,2011-01-01,2011-12-31,NY,New York,Northeast,Middle Atlantic,19302448,56951,FALSE
2011,2011-01-01,2011-12-31,NC,North Carolina,South,South Atlantic,9418736,46291,FALSE
2011,2011-01-01,2011-12-31,ND,North Dakota,North Central,West North Central,666783,49415,FALSE
2011,2011-01-01,2011-12-31,OH,Ohio,North Central,East North Central,11525536,48071,FALSE
2011,2011-01-01,2011-12-31,OK,Oklahoma,South,West South Central,3714520,44287,FALSE
2011,2011-01-01,2011-12-31,OR,Oregon,West,Pacific,3801991,49850,FALSE
2011,2011-01-01,2011-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12660739,51651,FALSE
2011,2011-01-01,2011-12-31,RI,Rhode Island,Northeast,New England,1053959,55975,FALSE
2011,2011-01-01,2011-12-31,SC,South Carolina,South,South Atlantic,4575864,44587,FALSE
2011,2011-01-01,2011-12-31,SD,South Dakota,North Central,West North Central,807697,48010,FALSE
2011,2011-01-01,2011-12-31,TN,Tennessee,South,East South Central,6297991,43989,FALSE
2011,2011-01-01,2011-12-31,TX,Texas,South,West South Central,24774187,50920,FALSE
2011,2011-01-01,2011-12-31,UT,Utah,West,Mountain,2715379,57783,FALSE
2011,2011-01-01,2011-12-31,VT,Vermont,Northeast,New England,624958,53422,FALSE
2011,2011-01-01,2011-12-31,VA,Virginia,South,South Atlantic,7926192,63302,FALSE
2011,2011-01-01,2011-12-31,WA,Washington,West,Pacific,6652845,58890,FALSE
2011,2011-01-01,2011-12-31,WV,West Virginia,South,South Atlantic,1846372,39550,FALSE
2011,2011-01-01,2011-12-31,WI,Wisconsin,North Central,East North Central,5664893,52374,FALSE
2011,2011-01-01,2011-12-31,WY,Wyoming,West,Mountain,554697,56380,FALSE
2011,2011-01-01,2011-12-31,DC,Puerto Rico,Northeast,South Atlantic,3742586,19122,FALSE
2012,2012-01-01,2012-12-31,AL,Alabama,South,East South Central,4777326,43160,FALSE
2012,2012-01-01,2012-12-31,AK,Alaska,West,Pacific,711139,69917,FALSE
2012,2012-01-01,2012-12-31,AZ,Arizona,West,Mountain,6410979,50256,FALSE
2012,2012-01-01,2012-12-31,AR,Arkansas,South,West South Central,2916372,40531,FALSE
2012,2012-01-01,2012-12-31,CA,California,West,Pacific,37325068,61400,FALSE
2012,2012-01-01,2012-12-31,CO,Colorado,West,Mountain,5042853,58244,FALSE
2012,2012-01-01,2012-12-31,CT,Connecticut,Northeast,New England,3572213,69519,FALSE
2012,2012-01-01,2012-12-31,DE,Delaware,South,South Atlantic,900131,60119,FALSE
2012,2012-01-01,2012-12-31,DC,District of Columbia,Northeast,South Atlantic,605759,64267,FALSE
2012,2012-01-01,2012-12-31,FL,Florida,South,South Atlantic,18885152,47309,FALSE
2012,2012-01-01,2012-12-31,GA,Georgia,South,South Atlantic,9714569,49604,FALSE
2012,2012-01-01,2012-12-31,HI,Hawaii,West,Pacific,1362730,67492,FALSE
2012,2012-01-01,2012-12-31,ID,Idaho,West,Mountain,1567803,47015,FALSE
2012,2012-01-01,2012-12-31,IL,Illinois,North Central,East North Central,12823860,56853,FALSE
2012,2012-01-01,2012-12-31,IN,Indiana,North Central,East North Central,6485530,48374,FALSE
2012,2012-01-01,2012-12-31,IA,Iowa,North Central,West North Central,3047646,51129,FALSE
